anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
"Kiss Him, Not Me",https://www.crunchyroll.com/kiss-him-not-me,12,4.48,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Asobi Asobase - workshop of fun -,https://www.crunchyroll.com/asobi-asobase-workshop-of-fun-,12,4.81,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanaka-kun is Always Listless,https://www.crunchyroll.com/tanaka-kun-is-always-listless,12,4.73,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Love, Chunibyo & Other Delusions",https://www.crunchyroll.com/love-chunibyo-other-delusions,24,4.83,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noblesse: Awakening,https://www.crunchyroll.com/noblesse-awakening,1,4.63,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Rurouni Kenshin,https://www.crunchyroll.com/rurouni-kenshin,95,4.8,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Case Closed,https://www.crunchyroll.com/case-closed,1105,4.92,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
School Babysitters,https://www.crunchyroll.com/school-babysitters,13,4.8,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardcaptor Sakura,https://www.crunchyroll.com/cardcaptor-sakura,0,4.77,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Comic Artist and His Assistants,https://www.crunchyroll.com/the-comic-artist-and-his-assistants,12,4.33,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
